S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2021033105008022,CGH,5,49,10,2105,21050.00
2,2021033101014891,GBIME,26,21,10,438,4380.00
3,2021033101014877,CBL,28,44,200,230,46000.00
4,2021033103023027,MFIL,25,39,50,487,24350.00
5,2021033104021077,STC,59,54,110,12200,1342000.00
6,2021033104021076,STC,59,54,130,12200,1586000.00
7,2021033104021075,STC,59,58,50,12199,609950.00
8,2021033104021074,STC,59,59,110,12150,1336500.00
9,2021033103023086,SLBS,59,59,18,2261,40698.00
10,2021033103023085,SLBS,59,57,50,2261,113050.00
11,2021033103023084,SLBS,59,49,30,2261,67830.00
12,2021033105008023,CGH,5,11,10,2120,21200.00
13,2021033103023083,UFL,43,16,300,382,114600.00
14,2021033104021073,UPPER,22,38,17,898,15266.00
15,2021033103023082,SNLB,45,22,15,1726,25890.00
16,2021033104021072,API,16,50,400,321,128400.00
17,2021033103023081,SHINE,46,57,350,266,93100.00
18,2021033104021071,EIC,58,57,500,757,378500.00
19,2021033104021070,PRIN,47,44,500,967,483500.00
20,2021033104021069,UIC,16,19,270,718,193860.00
S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2021033105008022,CGH,5,49,10,2105,21050.00
2,2021033101014891,GBIME,26,21,10,438,4380.00
3,2021033101014877,CBL,28,44,200,230,46000.00
4,2021033103023027,MFIL,25,39,50,487,24350.00
5,2021033104021077,STC,59,54,110,12200,1342000.00
6,2021033104021076,STC,59,54,130,12200,1586000.00
7,2021033104021075,STC,59,58,50,12199,609950.00
8,2021033104021074,STC,59,59,110,12150,1336500.00
9,2021033103023086,SLBS,59,59,18,2261,40698.00
10,2021033103023085,SLBS,59,57,50,2261,113050.00
11,2021033103023084,SLBS,59,49,30,2261,67830.00
12,2021033105008023,CGH,5,11,10,2120,21200.00
13,2021033103023083,UFL,43,16,300,382,114600.00
14,2021033104021073,UPPER,22,38,17,898,15266.00
15,2021033103023082,SNLB,45,22,15,1726,25890.00
16,2021033104021072,API,16,50,400,321,128400.00
17,2021033103023081,SHINE,46,57,350,266,93100.00
18,2021033104021071,EIC,58,57,500,757,378500.00
19,2021033104021070,PRIN,47,44,500,967,483500.00
20,2021033104021069,UIC,16,19,270,718,193860.00
S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2021033105008022,CGH,5,49,10,2105,21050.00
2,2021033101014891,GBIME,26,21,10,438,4380.00
3,2021033101014877,CBL,28,44,200,230,46000.00
4,2021033103023027,MFIL,25,39,50,487,24350.00
5,2021033104021077,STC,59,54,110,12200,1342000.00
6,2021033104021076,STC,59,54,130,12200,1586000.00
7,2021033104021075,STC,59,58,50,12199,609950.00
8,2021033104021074,STC,59,59,110,12150,1336500.00
9,2021033103023086,SLBS,59,59,18,2261,40698.00
10,2021033103023085,SLBS,59,57,50,2261,113050.00
11,2021033103023084,SLBS,59,49,30,2261,67830.00
12,2021033105008023,CGH,5,11,10,2120,21200.00
13,2021033103023083,UFL,43,16,300,382,114600.00
14,2021033104021073,UPPER,22,38,17,898,15266.00
15,2021033103023082,SNLB,45,22,15,1726,25890.00
16,2021033104021072,API,16,50,400,321,128400.00
17,2021033103023081,SHINE,46,57,350,266,93100.00
18,2021033104021071,EIC,58,57,500,757,378500.00
19,2021033104021070,PRIN,47,44,500,967,483500.00
20,2021033104021069,UIC,16,19,270,718,193860.00
