S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2021040103003380,HIDCL,57,58,1606,452,725912.00
2,2021040104004940,LEC,55,51,1000,298,298000.00
3,2021040104004924,NICL,49,35,1000,832,832000.00
4,2021040101002107,SBL,49,33,620,424,262880.00
5,2021040101002104,KBL,56,45,113,308,34804.00
6,2021040101002915,LBL,57,54,25,295,7375.00
7,2021040104006722,UIC,56,42,2000,725,1450000.00
8,2021040101002614,CCBL,55,28,35,248,8680.00
9,2021040104006049,LEMF,54,49,1000,10.99,10990.00
10,2021040101002127,NABIL,58,45,22,1293,28446.00
11,2021040104004957,PRIN,49,50,500,980,490000.00
12,2021040103003440,GUFL,59,34,50,490,24500.00
13,2021040103004206,LBBL,59,36,56,257,14392.00
14,2021040104006022,AKPL,58,50,500,331,165500.00
15,2021040103004739,FMDBL,56,55,16,878,14048.00
16,2021040104006746,SJCL,56,41,40,355,14200.00
17,2021040101002106,SBL,49,49,380,424,161120.00
18,2021040104004978,UMRH,49,47,10,306,3060.00
19,2021040104004987,GLH,58,32,10,379,3790.00
20,2021040103003411,GUFL,59,4,38,490,18620.00
S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
21,2021040104005957,GLH,58,21,10,379,3790.00
22,2021040103003388,FMDBL,57,58,250,872,218000.00
23,2021040103003369,HIDCL,54,58,130,452,58760.00
24,2021040104004919,API,58,33,200,323,64600.00
25,2021040104004958,PRIN,49,56,20,980,19600.00
26,2021040104005003,UPPER,54,49,100,890,89000.00
27,2021040103004238,CBBL,57,55,50,1663,83150.00
28,2021040103004193,DDBL,58,14,100,1756,175600.00
29,2021040104005966,UPPER,57,48,1300,890,1157000.00
30,2021040101002612,MEGA,57,19,27,306,8262.00
31,2021040104005008,UPPER,55,49,180,890,160200.00
32,2021040104006731,SJCL,56,4,40,354,14160.00
33,2021040104004988,PICL,58,33,80,890,71200.00
34,2021040103003364,HIDCL,58,58,500,452,226000.00
35,2021040104006749,PICL,56,16,1000,904,904000.00
36,2021040103004229,NLICL,55,58,67,1187,79529.00
37,2021040104004959,PRIN,49,57,50,980,49000.00
38,2021040103004736,RLI,57,22,100,726,72600.00
39,2021040104004920,PICL,14,28,400,889,355600.00
40,2021040104006012,PIC,59,48,20,1298,25960.00
S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
41,2021040104005004,GLH,58,39,10,379,3790.00
42,2021040103003415,HIDCL,57,49,294,454,133476.00
43,2021040103004245,GLICL,50,7,50,760,38000.00
44,2021040103003421,PLI,58,57,30,817,24510.00
45,2021040104004949,RRHP,58,38,80,379,30320.00
46,2021040104004943,RRHP,49,38,10,372,3720.00
47,2021040103003376,ALBSL,49,43,12,1542,18504.00
48,2021040103003396,RMDC,55,8,49,1208,59192.00
49,2021040101002103,PCBL,55,44,54,436,23544.00
50,2021040104005993,UPCL,50,51,100,146,14600.00
51,2021040103004226,HIDCL,57,45,100,455,45500.00
52,2021040104006768,GLH,58,21,10,379,3790.00
53,2021040101002914,LBL,57,17,175,295,51625.00
54,2021040104006736,PICL,49,45,50,900,45000.00
55,2021040104005946,IGI,19,38,97,1200,116400.00
56,2021040104004918,AIL,59,59,10,1031,10310.00
57,2021040101002611,CCBL,55,25,263,248,65224.00
58,2021040103003397,FMDBL,57,46,59,872,51448.00
59,2021040103003394,HIDCL,57,34,100,454,45400.00
60,2021040101002118,NICA,55,53,37,900,33300.00
S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2021040103003380,HIDCL,57,58,1606,452,725912.00
2,2021040104004940,LEC,55,51,1000,298,298000.00
3,2021040104004924,NICL,49,35,1000,832,832000.00
4,2021040101002107,SBL,49,33,620,424,262880.00
5,2021040101002104,KBL,56,45,113,308,34804.00
6,2021040101002915,LBL,57,54,25,295,7375.00
7,2021040104006722,UIC,56,42,2000,725,1450000.00
8,2021040101002614,CCBL,55,28,35,248,8680.00
9,2021040104006049,LEMF,54,49,1000,10.99,10990.00
10,2021040101002127,NABIL,58,45,22,1293,28446.00
11,2021040104004957,PRIN,49,50,500,980,490000.00
12,2021040103003440,GUFL,59,34,50,490,24500.00
13,2021040103004206,LBBL,59,36,56,257,14392.00
14,2021040104006022,AKPL,58,50,500,331,165500.00
15,2021040103004739,FMDBL,56,55,16,878,14048.00
16,2021040104006746,SJCL,56,41,40,355,14200.00
17,2021040101002106,SBL,49,49,380,424,161120.00
18,2021040104004978,UMRH,49,47,10,306,3060.00
19,2021040104004987,GLH,58,32,10,379,3790.00
20,2021040103003411,GUFL,59,4,38,490,18620.00
S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
21,2021040104005957,GLH,58,21,10,379,3790.00
22,2021040103003388,FMDBL,57,58,250,872,218000.00
23,2021040103003369,HIDCL,54,58,130,452,58760.00
24,2021040104004919,API,58,33,200,323,64600.00
25,2021040104004958,PRIN,49,56,20,980,19600.00
26,2021040104005003,UPPER,54,49,100,890,89000.00
27,2021040103004238,CBBL,57,55,50,1663,83150.00
28,2021040103004193,DDBL,58,14,100,1756,175600.00
29,2021040104005966,UPPER,57,48,1300,890,1157000.00
30,2021040101002612,MEGA,57,19,27,306,8262.00
31,2021040104005008,UPPER,55,49,180,890,160200.00
32,2021040104006731,SJCL,56,4,40,354,14160.00
33,2021040104004988,PICL,58,33,80,890,71200.00
34,2021040103003364,HIDCL,58,58,500,452,226000.00
35,2021040104006749,PICL,56,16,1000,904,904000.00
36,2021040103004229,NLICL,55,58,67,1187,79529.00
37,2021040104004959,PRIN,49,57,50,980,49000.00
38,2021040103004736,RLI,57,22,100,726,72600.00
39,2021040104004920,PICL,14,28,400,889,355600.00
40,2021040104006012,PIC,59,48,20,1298,25960.00
S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
41,2021040104005004,GLH,58,39,10,379,3790.00
42,2021040103003415,HIDCL,57,49,294,454,133476.00
43,2021040103004245,GLICL,50,7,50,760,38000.00
44,2021040103003421,PLI,58,57,30,817,24510.00
45,2021040104004949,RRHP,58,38,80,379,30320.00
46,2021040104004943,RRHP,49,38,10,372,3720.00
47,2021040103003376,ALBSL,49,43,12,1542,18504.00
48,2021040103003396,RMDC,55,8,49,1208,59192.00
49,2021040101002103,PCBL,55,44,54,436,23544.00
50,2021040104005993,UPCL,50,51,100,146,14600.00
51,2021040103004226,HIDCL,57,45,100,455,45500.00
52,2021040104006768,GLH,58,21,10,379,3790.00
53,2021040101002914,LBL,57,17,175,295,51625.00
54,2021040104006736,PICL,49,45,50,900,45000.00
55,2021040104005946,IGI,19,38,97,1200,116400.00
56,2021040104004918,AIL,59,59,10,1031,10310.00
57,2021040101002611,CCBL,55,25,263,248,65224.00
58,2021040103003397,FMDBL,57,46,59,872,51448.00
59,2021040103003394,HIDCL,57,34,100,454,45400.00
60,2021040101002118,NICA,55,53,37,900,33300.00
